porcentaje_cartera_vencida_telcos,uso_total_prod_3m_rotativo,version_sistema_operativo_9.0,fecha_desembolso_201809,porcentaje_productos_48meses_total,productos_abiertos_ahorro_5.0,desv_recargas_pse_12m,productos_abiertos_ahorro_9.0,desv_retiros_atm_12m,version_sistema_operativo_5.0,fecha_desembolso_201805,monto_min_transado_2m,meses_apertura_rotativo,saldo_prom_rotativo,fecha_desembolso_201806,cupo_max_rotativo,productos_abiertos_ahorro_3.0,id_cliente,fecha_desembolso_201807,pct_productos_cerrados_rotativo,part_ahorro_total,cupo_disp_rotativo,ponderacion_24m_rotativo,ponderacion_reportes_al_dia_18m_total,incumplimiento
30.72,125.85,False,False,87.5,False,0.34180737,False,0.94280905,False,False,0.0,47.0,1.41,True,1.54,False,165375921669.0,False,66.67,25.0,0.13,94.995125,42.61217,0
0.0,0.0,False,True,87.5,False,0.0,False,0.0,False,False,0.0,33.0,0.0,False,7.25,True,175794203419.0,False,50.0,37.5,3.95,100.0,100.0,0
0.0,42.25,False,False,68.75,True,0.43562406,False,0.62360954,False,False,0.0,113.0,3.57,False,12.16,False,211383215128.0,True,70.59,31.25,1.75,100.0,100.0,0
0.0,76.15,False,False,64.29,False,0.0,False,0.5527708,False,False,4.7360485e-05,40.0,1.84,False,12.8,False,292327795359.0,False,62.5,28.57,4.94,89.22658,100.0,0
0.0,90.96,False,False,90.91,False,0.014985986,False,0.0,False,False,0.0,27.0,3.36,False,14.08,False,424434046615.0,False,61.54,18.18,0.54,95.946045,100.0,1
0.0,58.77,False,True,54.55,False,0.0,False,0.4330127,False,False,0.0,146.0,1.86,False,4.89,False,455695614219.0,False,66.67,36.36,0.18,100.0,100.0,0
0.0,76.63,False,False,100.0,False,0.1873247999999999,False,2.3746345,False,False,0.51200527,17.0,1.13,True,2.56,True,463764586760.0,False,40.0,42.86,0.37,91.56389,98.26463,0
0.0,56.35,False,False,66.67,False,0.0,False,0.0,False,False,0.0,151.0,3.07,False,8.58,True,532077516108.0,False,72.73,33.33,3.2,100.0,74.83794,0
0.0,30.73,False,False,63.64,False,0.014985986,False,0.0,False,True,3.8400394e-06,126.0,2.23,False,2.94,True,632123989798.0,False,75.0,27.27,0.43,100.0,100.0,0
0.0,10.15,False,False,90.0,False,0.01873248,False,0.0,False,True,0.0,19.0,0.31,False,12.8,False,726675348313.0,False,85.71,40.0,9.5,93.18092,100.0,0
0.0,35.79,False,False,100.0,False,0.31052735,False,1.440968,False,False,6.4000655e-05,30.0,3.06,False,16.51,False,767930548529.0,False,64.29,20.0,5.19,89.22658,100.0,0
0.0,49.14,False,False,90.91,False,0.0,False,0.0,False,False,0.0,37.0,1.88,False,3.46,False,813170448886.0,False,50.0,33.33,0.82,100.0,100.0,0
0.0,61.63,True,False,92.86,False,1.9586544,False,0.9242114,False,False,0.17920184,117.0,3.08,False,7.04,True,838924728017.0,False,58.33,20.0,1.37,100.0,100.0,1
0.0,43.15,False,False,38.1,False,0.038915463,False,0.0,False,False,0.0,133.0,4.04,False,9.47,False,853449694076.0,False,53.85,31.82,2.74,100.0,100.0,0
0.0,52.88,False,False,85.71,False,0.0,False,0.0,False,False,0.25600263,85.0,4.41,False,19.2,True,52947413418.0,False,72.73,21.43,6.05,100.0,100.0,0
0.0,32.49,False,False,57.14,False,0.0,False,0.0,False,True,6.144063e-05,50.0,2.31,False,7.55,False,214644763897.0,False,66.67,28.57,3.39,100.0,100.0,0
0.0,59.32,False,False,93.33,False,0.0,False,0.9574271,False,False,0.051968534,60.0,2.1,False,2.66,True,577961789335.0,False,40.0,20.0,0.07,100.0,100.0,0
0.0,34.71,False,False,72.73,False,0.0,False,0.0,False,False,0.0,107.0,0.46,True,6.4,False,655451672601.0,False,50.0,15.38,2.56,100.0,100.0,0
0.0,108.17,False,False,61.11,False,0.36491603,False,0.62360954,False,False,2.4320248000000003e-05,93.0,3.54,False,4.8,False,697737613500.0,False,50.0,33.33,2.09,100.0,100.0,0
0.0,32.16,False,False,100.0,False,0.50428677,False,1.9930435,False,False,3.9680406e-05,31.0,0.85,False,5.12,False,909698738072.0,False,25.0,26.67,2.05,100.0,100.0,0
0.0,46.6,False,False,87.5,False,0.017688848,False,0.0,False,False,0.0,26.0,4.46,False,10.24,False,917388473820.0,True,75.0,25.0,2.7,100.0,100.0,0
0.0,103.58,False,False,78.57,False,0.017688848,False,0.2763854,False,False,0.06400066,51.0,0.83,False,1.54,False,962466067719.0,False,33.33,42.86,0.02,100.0,100.0,0
0.0,19.86,False,False,90.0,False,0.0,False,0.2763854,False,False,1.664017e-05,19.0,0.22,False,11.52,False,996213290273.0,False,16.67,20.0,6.18,100.0,100.0,0
0.0,34.73,False,False,71.43,False,0.57156694,False,1.440968,False,False,1.4080144e-05,65.0,0.0,False,1.28,False,177738333169.0,False,92.31,28.57,1.28,100.0,100.0,0
0.0,120.92,False,False,56.25,False,1.0685465,False,2.628635,False,False,0.0,168.0,3.87,False,5.32,False,204049848013.0,False,73.33,22.22,0.0,2.4886136000000003,0.0,1
0.0,45.9,False,False,39.29,False,0.10613308,False,0.0,False,False,2.5600262e-05,155.0,7.58,False,62.91,False,316018836052.0,False,72.73,14.29,11.4,100.0,100.0,0
100.0,75.08,False,False,84.21,True,0.8933908000000002,False,1.6832508000000002,False,True,1.2800131e-06,96.0,2.58,False,3.97,False,402479438723.0,False,40.0,26.32,0.04,100.0,100.0,0
0.0,22.5,False,False,75.0,False,0.28361452,False,0.6400955,False,False,1.02401045e-05,162.0,3.82,False,34.63,False,414928901150.0,False,52.0,20.0,11.38,100.0,100.0,0
0.0,79.54,False,False,88.89,False,0.0,False,0.0,False,True,0.0,45.0,4.91,False,7.17,False,431781527506.0,False,80.0,20.0,1.55,100.0,100.0,0
0.0,70.82,False,False,89.47,False,0.0,False,1.3437096000000002,False,False,3.8400394e-05,46.0,3.8,False,7.94,False,453355250981.0,True,63.64,30.0,0.65,100.0,100.0,0
0.0,83.74,False,False,62.5,False,0.1627374,False,0.0,False,False,0.0,28.0,10.33,False,19.2,False,509444053045.0,False,33.33,50.0,2.44,89.22658,100.0,0
0.0,85.09,False,False,90.0,False,0.04312028,False,0.4330127,False,False,0.0,25.0,1.53,False,2.69,True,517514254484.0,False,57.14,30.0,0.42,97.535385,100.0,0
0.0,79.24,False,True,90.91,False,0.0070755383999999,False,0.0,False,False,0.0,44.0,3.25,False,6.14,False,527420937130.0,False,50.0,36.36,1.31,100.0,100.0,0
0.0,18.85,False,False,44.44,False,0.0,False,0.0,False,False,0.0,113.0,2.59,False,15.36,False,580463767131.0,False,46.15,38.89,9.01,100.0,100.0,0
0.0,77.43,False,False,78.57,False,0.0,False,0.59511906,False,False,1.2800131e-05,122.0,2.5,False,3.84,True,595936404679.0,False,50.0,21.43,0.19,100.0,100.0,0
100.0,35.46,False,False,86.67,False,0.22957821,False,1.0,False,True,1.2800131e-06,61.0,0.37,False,2.3,True,677301236284.0,False,66.67,20.0,1.43,100.0,17.801666,0
0.0,81.37,False,False,88.0,False,1.0335752,False,2.8613808,False,False,0.0,61.0,3.79,False,5.31,False,743560871709.0,False,40.0,16.0,0.43,100.0,100.0,0
0.0,9.74,False,True,55.56,False,0.0,False,0.2763854,False,False,0.0,73.0,0.1,False,24.32,True,772399451580.0,False,83.33,33.33,15.36,100.0,100.0,0
0.0,76.67,False,False,85.71,False,0.0,False,0.37267798,False,False,1.9200197e-05,69.0,3.09,False,9.47,False,870852201910.0,False,50.0,18.18,1.28,100.0,100.0,0
0.0,1.38,False,False,45.45,False,0.48060277,False,1.4433757,False,False,0.12800132,142.0,1.63,False,8.45,True,881377150053.0,False,50.0,27.27,4.3,100.0,100.0,0
0.0,36.6,False,False,63.64,False,0.087579474,False,0.0,False,False,1.3555333e-06,115.0,6.95,False,34.16,False,950256700594.0,False,73.33,18.18,19.38,100.0,100.0,0
0.0,36.63,False,False,58.82,False,0.0267042479999999,False,0.62360954,False,False,1.2800131e-06,248.0,4.95,False,39.68,True,981567413964.0,False,78.79,17.65,9.04,100.0,100.0,0
0.0,64.52,False,False,54.55,False,0.0,False,0.2763854,False,True,0.0,163.0,4.91,False,9.92,True,265576461537.0,False,53.85,27.27,1.3,100.0,100.0,0
0.0,74.18,False,False,81.82,True,0.9916654,False,1.5811388000000002,False,False,0.0,19.0,11.63,False,17.83,False,313442074991.0,False,33.33,45.45,1.77,94.63625,100.0,0
0.0,20.73,False,True,71.43,False,0.39405137,False,0.8620066999999999,False,False,0.0,22.0,0.24,False,1.28,False,323068381825.0,False,66.67,28.57,1.04,98.1858,100.0,0
0.0,57.15,False,False,61.54,False,0.0,False,0.0,False,False,1.2800131e-06,55.0,11.55,False,51.2,False,408624841904.0,False,68.75,15.38,11.04,100.0,100.0,0
0.0,16.6,False,False,83.33,False,1.3579538,False,0.0,False,False,0.000121601246,56.0,0.3,False,2.56,False,499992142394.0,False,33.33,28.57,1.94,100.0,100.0,0
0.0,99.17,False,True,30.43,False,0.035377696,False,0.2763854,False,False,0.0,158.0,11.14,False,23.68,True,600968755015.0,False,64.0,13.04,3.53,100.0,100.0,0
0.0,19.28,False,False,100.0,True,0.0,False,0.0,False,False,0.0,125.0,0.02,False,10.96,False,789273102939.0,False,66.67,29.41,8.86,100.0,100.0,0
0.0,52.25,False,False,65.63,False,0.3289787,False,0.0,False,False,0.0,338.0,3.96,False,102.4,False,964454991592.0,False,42.65,6.25,6.75,100.0,100.0,0
108.01,107.66,False,False,100.0,False,0.46719447,False,2.7335365,False,False,0.019200196,41.0,0.39,True,1.02,False,50718820297.0,False,82.35,36.36,0.19,0.85935754,0.0,1
0.0,92.54,False,False,100.0,False,0.5076164000000001,False,2.8722813,False,False,0.0,30.0,7.42,False,9.22,False,93570860713.0,False,50.0,16.67,1.8,100.0,100.0,0
0.0,13.6,False,False,81.25,False,0.5740679,False,0.6400955,False,False,0.0,61.0,2.43,False,17.91,True,314607256769.0,False,50.0,17.65,4.07,100.0,100.0,0
0.0,92.89,False,False,62.5,True,0.1627374,False,0.0,False,False,0.0,29.0,6.33,False,6.34,False,509444053045.0,False,50.0,62.5,0.0,89.22658,100.0,0
0.0,15.72,False,False,92.31,True,0.06918751,False,1.6562172,False,False,0.0,49.0,0.96,False,4.61,False,533141413040.0,False,81.82,35.71,3.17,100.0,100.0,0
0.0,2.63,False,False,50.0,False,0.26178852,False,1.1149241,False,False,1.02401045e-05,66.0,0.02,False,6.4,False,544708941916.0,False,37.5,25.0,3.67,100.0,100.0,0
0.0,0.0,False,False,57.14,True,0.7835441,False,1.4337208,False,False,5.422133e-06,73.0,0.0,False,0.9,False,616192860603.0,False,75.0,71.43,0.9,100.0,100.0,0
0.0,20.07,False,False,66.67,False,0.08208931,False,0.0,False,False,0.0,27.0,0.25,False,25.6,True,700381410108.0,False,85.71,50.0,18.95,100.0,100.0,0
0.0,78.44,False,False,68.42,True,0.035377696,False,0.2763854,False,False,0.0,149.0,3.4,False,8.32,False,909263223232.0,False,83.33,26.32,1.29,96.805405,100.0,1
100.0,73.19,False,False,88.89,False,0.056197446,False,0.0,False,False,0.0,10.0,4.62,False,6.66,False,921291841398.0,False,66.67,22.22,0.44,49.520164,29.174585,1
1915.79,107.66,False,False,70.0,False,0.1873247999999999,False,1.440968,False,False,0.0,78.0,4.22,True,7.32,False,936163414351.0,False,38.46,35.0,0.04,49.520164,0.0,1
0.0,57.13,False,False,16.67,False,0.40026855,False,0.0,False,False,1.7920183e-05,222.0,5.62,False,18.55,False,18117908728.0,False,77.78,33.33,7.31,100.0,100.0,0
0.0,37.52,False,False,60.0,False,0.0,False,0.0,False,False,5.1200523e-06,94.0,0.7,False,2.94,False,145420090795.0,False,50.0,36.36,1.09,100.0,100.0,0
0.0,74.37,False,False,87.5,False,0.0,False,0.0,False,False,0.0,22.0,24.94,False,57.6,False,249490551372.0,False,88.24,25.0,13.33,83.86283,100.0,0
0.0,39.58,False,False,50.0,False,0.0037464965,False,0.0,False,False,0.0,17.0,0.2,False,8.32,True,295627461189.0,False,50.0,50.0,6.13,91.56389,100.0,0
0.0,6.85,False,False,90.91,False,0.0,False,0.62360954,False,False,0.0,38.0,0.82,False,13.57,True,362413961788.0,False,88.46,27.27,8.66,89.22658,100.0,0
0.0,39.68,False,False,84.62,False,0.0007492992399999,False,0.0,False,False,0.0,87.0,12.53,False,70.78,False,378908236070.0,False,73.91,30.77,13.17,100.0,100.0,0
0.0,74.77,False,False,90.91,False,0.78644496,False,1.8314384,False,False,7.680078999999999e-06,43.0,5.74,False,9.09,False,890948385071.0,False,68.75,18.18,0.79,100.0,100.0,0
0.0,93.35,False,False,70.0,False,1.2584618,False,1.3437096000000002,False,False,0.0,51.0,4.74,False,12.54,True,165391637040.0,False,20.0,30.0,0.37,79.5305,78.03251999999999,0
0.0,34.58,False,False,50.0,False,0.0037464965,False,0.0,False,False,1.3555333e-06,128.0,5.22,False,21.82,False,266531449352.0,False,69.23,20.0,6.84,100.0,100.0,0
0.0,29.23,False,False,53.85,False,0.0229955,False,0.0,False,False,0.0,180.0,2.62,False,19.2,True,272146076555.0,False,62.5,23.08,9.63,100.0,100.0,0
0.0,8.49,False,False,37.5,False,0.01873248,False,0.2763854,False,False,0.0,112.0,3.17,True,31.58,False,298143421979.0,False,82.35,25.0,19.6,100.0,100.0,0
0.0,39.17,False,False,100.0,False,1.779932,False,1.2909944,False,False,3.8400394e-06,46.0,0.52,False,0.77,False,334614550162.0,False,50.0,22.22,0.25,89.22658,100.0,0
0.0,41.33,False,False,92.86,False,0.33732098,False,1.1873173,False,False,1.3555333e-06,19.0,0.24,False,6.78,False,587808545536.0,False,62.5,14.29,2.92,94.63625,100.0,0
0.0,83.98,False,False,71.43,False,0.27096307,False,0.8291562,False,False,0.0,20.0,7.25,False,17.66,False,641546403959.0,True,50.0,28.57,1.8,95.946045,100.0,0
0.0,45.3,False,False,80.0,False,0.0,False,0.2763854,False,False,0.0,64.0,4.82,False,19.46,False,660599919527.0,False,46.15,13.33,3.3,100.0,88.43817,1
0.0,4.05,False,False,83.33,False,0.0,False,0.0,False,False,0.0,31.0,0.26,False,15.06,False,687026136502.0,False,66.67,33.33,9.62,100.0,100.0,0
