id_cliente,fecha_desembolso,incumplimiento,tipo_cliente,desv_retiros_atm_12m,monto_min_transado_1m,monto_min_transado_2m,desv_recargas_pse_12m,prom_retiros_atm_12m,version_sistema_operativo,cupo_disp_rotativo,meses_cancel_telcos,porcentaje_productos_48meses_total,meses_apertura_ultimo_prod_total,meses_apertura_telcos,meses_apertura_rotativo,porcentaje_cartera_vencida_telcos,saldo_prom_rotativo,uso_total_prod_3m_rotativo,cupo_max_rotativo,part_ahorro_total,pct_productos_cerrados_rotativo,meses_apertura_ahorro,productos_abiertos_ahorro,saldo_total_9_meses_rotativo,cancel_pos_12m,ponderacion_reportes_al_dia_18m_total,ponderacion_24m_rotativo
179539617159.0,201808,0,adicion,0.2763854,1.5360157999999997e-05,1.1520118e-05,0.03746496,0.005333388,11.0,2.0,3.0,71.43,2.0,77.0,51.0,0.0,0.14,19.9,2.7,28.57,57.14,20.0,2.0,0.3,0.0,100.0,100.0
384786481889.0,201802,0,adicion,0.2763854,1.02401045e-05,9.488734e-06,0.03746496,0.0022592223,10.0,16.61,168.0,146.67,4.0,276.0,182.0,0.0,17.04,61.37,44.73,17.24,73.91,7.0,5.0,60.79,1.0,100.0,100.0
494292949522.0,201806,0,adicion,0.2763854,1.2800131e-06,0.0,0.0,0.0022592223,8.0,2.51,41.0,75.0,2.0,62.0,49.0,0.0,3.54,66.62,16.64,25.0,42.86,12.0,3.0,21.79,0.0,100.0,100.0
734162797017.0,201808,0,adicion,0.2763854,0.0,0.0,0.03746496,0.011296111,0.0,0.35,0.0,75.0,7.0,81.0,83.0,0.0,3.05,89.02,12.54,12.5,23.08,14.0,2.0,30.82,2.0,100.0,100.0
806878433288.0,201811,0,adicion,0.2763854,0.0,1.2800131e-06,0.016899351,0.005333388,7.0,6.78,76.0,63.64,0.0,107.0,66.0,0.0,1.03,14.63,15.36,18.18,33.33,3.0,2.0,10.95,2.0,100.0,100.0
889673629291.0,201804,0,adicion,0.62360954,1.2800131e-05,0.0,0.15646882,0.0384067779999999,11.0,2.16,11.0,78.57,0.0,109.0,53.0,0.0,4.96,54.39,14.72,40.0,93.18,6.0,6.0,22.0,8.0,100.0,100.0
941504587748.0,201807,0,adicion,5.4230733,1.7920183e-05,0.0,1.1313624,2.0160713,8.0,0.69,22.0,82.35,1.0,69.0,67.0,0.0,0.24,61.05,2.21,23.53,25.0,3.0,4.0,0.49,0.0,100.0,93.638405
969590207345.0,201810,0,adicion,0.5527708,0.0,0.0,0.75335395,0.0042667105,7.0,0.13,17.0,71.43,0.0,55.0,49.0,0.0,1.28,98.94,1.41,62.5,50.0,10.0,5.0,0.63,1.0,100.0,100.0
22760154368.0,201812,0,adicion,0.0,0.0,3.2000327e-05,0.0017688845999999,0.0,0.0,5.76,107.0,53.85,2.0,153.0,145.0,0.0,3.23,58.56,21.76,30.77,44.44,3.0,4.0,24.22,0.0,89.59435,100.0
165375921669.0,201806,0,adicion,0.94280905,0.0,0.0,0.34180737,0.066700414,8.0,0.13,40.0,87.5,0.0,65.0,47.0,30.72,1.41,125.85,1.54,25.0,66.67,8.0,2.0,3.74,1.0,42.61217,94.995125
175794203419.0,201809,0,adicion,0.0,0.0,0.0,0.0,0.0,7.0,3.95,15.0,87.5,2.0,109.0,33.0,0.0,0.0,0.0,7.25,37.5,50.0,2.0,3.0,0.85,1.0,100.0,100.0
211383215128.0,201807,0,adicion,0.62360954,4.0960418e-05,0.0,0.43562406,0.09280095,10.0,1.75,33.0,68.75,8.0,121.0,113.0,0.0,3.57,42.25,12.16,31.25,70.59,9.0,5.0,14.03,3.0,100.0,100.0
292327795359.0,201811,0,objetivo,0.5527708,6.528066999999999e-05,4.7360485e-05,0.0,0.10880112,7.0,4.94,20.0,64.29,0.0,136.0,40.0,0.0,1.84,76.15,12.8,28.57,62.5,2.0,4.0,9.43,3.0,100.0,89.22658
424434046615.0,201804,1,adicion,0.0,1.2800131e-06,0.0,0.014985986,0.0,0.0,0.54,1.0,90.91,1.0,56.0,27.0,0.0,3.36,90.96,14.08,18.18,61.54,8.0,2.0,21.72,6.0,100.0,95.946045
455695614219.0,201809,0,adicion,0.4330127,2.5600261e-06,0.0,0.0,0.013866808,6.0,0.18,44.0,54.55,1.0,127.0,146.0,0.0,1.86,58.77,4.89,36.36,66.67,10.0,4.0,3.21,1.0,100.0,100.0
463764586760.0,201806,0,adicion,2.3746345,0.0,0.51200527,0.1873247999999999,0.67622024,7.0,0.37,21.0,100.0,4.0,56.0,17.0,0.0,1.13,76.63,2.56,42.86,40.0,5.0,3.0,4.65,2.0,98.26463,91.56389
532077516108.0,201811,0,objetivo,0.0,0.0,0.0,0.0,0.0,7.0,3.2,3.0,66.67,14.0,144.0,151.0,0.0,3.07,56.35,8.58,33.33,72.73,14.0,3.0,7.87,2.0,74.83794,100.0
632123989798.0,201805,0,adicion,0.0,3.8400394e-06,3.8400394e-06,0.014985986,0.0,6.0,0.43,30.0,63.64,3.0,100.0,126.0,0.0,2.23,30.73,2.94,27.27,75.0,5.0,3.0,1.29,0.0,100.0,100.0
726675348313.0,201805,0,adicion,0.0,0.0,0.0,0.01873248,0.0,8.0,9.5,4.0,90.0,6.0,31.0,19.0,0.0,0.31,10.15,12.8,40.0,85.71,7.0,4.0,0.2,4.0,100.0,93.18092
767930548529.0,201812,0,adicion,1.440968,4.8640497e-05,6.4000655e-05,0.31052735,0.068582036,11.0,5.19,16.0,100.0,3.0,24.0,30.0,0.0,3.06,35.79,16.51,20.0,64.29,7.0,2.0,8.29,6.0,100.0,89.22658
813170448886.0,201810,0,adicion,0.0,1.664017e-05,0.0,0.0,0.0,6.0,0.82,14.0,90.91,0.0,76.0,37.0,0.0,1.88,49.14,3.46,33.33,50.0,1.0,4.0,10.46,1.0,100.0,100.0
838924728017.0,201804,1,adicion,0.9242114,0.0,0.17920184,1.9586544,0.37326238,9.0,1.37,5.0,92.86,3.0,147.0,117.0,0.0,3.08,61.63,7.04,20.0,58.33,8.0,3.0,13.67,0.0,100.0,100.0
853449694076.0,201811,0,adicion,0.0,0.14080144,0.0,0.038915463,0.0,11.0,2.74,97.0,38.1,5.0,97.0,133.0,0.0,4.04,43.15,9.47,31.82,53.85,13.0,7.0,34.43,5.0,100.0,100.0
52947413418.0,201810,0,adicion,0.0,0.52480537,0.25600263,0.0,0.0,8.0,6.05,14.0,85.71,1.0,117.0,85.0,0.0,4.41,52.88,19.2,21.43,72.73,2.0,3.0,10.78,2.0,100.0,100.0
214644763897.0,201805,0,adicion,0.0,6.272064e-05,6.144063e-05,0.0,0.0,11.0,3.39,146.0,57.14,5.0,240.0,50.0,0.0,2.31,32.49,7.55,28.57,66.67,8.0,2.0,7.28,1.0,100.0,100.0
577961789335.0,201804,0,adicion,0.9574271,0.0,0.051968534,0.0,0.09525856,11.0,0.07,5.0,93.33,0.0,48.0,60.0,0.0,2.1,59.32,2.66,20.0,40.0,6.0,3.0,8.37,2.0,100.0,100.0
655451672601.0,201806,0,adicion,0.0,0.0,0.0,0.0,0.0,11.0,2.56,2.0,72.73,2.0,112.0,107.0,0.0,0.46,34.71,6.4,15.38,50.0,13.0,2.0,11.41,1.0,100.0,100.0
697737613500.0,201812,0,adicion,0.62360954,0.0,2.4320248000000003e-05,0.36491603,0.17066842,11.0,2.09,11.0,61.11,0.0,119.0,93.0,0.0,3.54,108.17,4.8,33.33,50.0,2.0,6.0,5.26,1.0,100.0,100.0
909698738072.0,201808,0,adicion,1.9930435,1.5360157999999997e-05,3.9680406e-05,0.50428677,0.68103194,8.0,2.05,1.0,100.0,0.0,99.0,31.0,0.0,0.85,32.16,5.12,26.67,25.0,0.0,4.0,3.55,1.0,100.0,100.0
917388473820.0,201807,0,adicion,0.0,0.06400066,0.0,0.017688848,0.0,7.0,2.7,59.0,87.5,0.0,79.0,26.0,0.0,4.46,46.6,10.24,25.0,75.0,0.0,2.0,7.13,0.0,100.0,100.0
962466067719.0,201804,0,adicion,0.2763854,0.0,0.06400066,0.017688848,0.005333388,12.0,0.02,8.0,78.57,1.0,56.0,51.0,0.0,0.83,103.58,1.54,42.86,33.33,1.0,6.0,1.69,1.0,100.0,100.0
996213290273.0,201808,0,adicion,0.2763854,8.960091999999999e-06,1.664017e-05,0.0,0.027733617,12.0,6.18,6.0,90.0,2.0,19.0,19.0,0.0,0.22,19.86,11.52,20.0,16.67,22.0,2.0,0.95,1.0,100.0,100.0
177738333169.0,201808,0,adicion,1.440968,1.2800131e-06,1.4080144e-05,0.57156694,0.5253344,11.0,1.28,12.0,71.43,6.0,101.0,65.0,0.0,0.0,34.73,1.28,28.57,92.31,28.0,2.0,3.4,4.0,100.0,100.0
204049848013.0,201803,1,adicion,2.628635,0.0,0.0,1.0685465,0.7609826,11.0,0.0,59.0,56.25,5.0,215.0,168.0,0.0,3.87,120.92,5.32,22.22,73.33,5.0,4.0,15.77,1.0,0.0,2.4886136000000003
316018836052.0,201812,0,adicion,0.0,2.4320248000000003e-05,2.5600262e-05,0.10613308,0.0,12.0,11.4,5.0,39.29,16.0,237.0,155.0,0.0,7.58,45.9,62.91,14.29,72.73,23.0,4.0,52.19,0.0,100.0,100.0
402479438723.0,201805,0,adicion,1.6832508000000002,0.0,1.2800131e-06,0.8933908000000002,0.49259162,0.0,0.04,1.0,84.21,3.0,75.0,96.0,100.0,2.58,75.08,3.97,26.32,40.0,9.0,5.0,5.11,0.0,100.0,100.0
414928901150.0,201811,0,adicion,0.6400955,1.9200197e-05,1.02401045e-05,0.28361452,0.107422955,6.0,11.38,137.0,75.0,0.0,183.0,162.0,0.0,3.82,22.5,34.63,20.0,52.0,15.0,4.0,22.89,4.0,100.0,100.0
431781527506.0,201805,0,adicion,0.0,0.0,0.0,0.0,0.0,8.0,1.55,18.0,88.89,0.0,53.0,45.0,0.0,4.91,79.54,7.17,20.0,80.0,0.0,2.0,25.42,2.0,100.0,100.0
453355250981.0,201807,0,adicion,1.3437096000000002,7.80808e-05,3.8400394e-05,0.0,0.37205705,7.0,0.65,6.0,89.47,4.0,120.0,46.0,0.0,3.8,70.82,7.94,30.0,63.64,7.0,6.0,12.68,0.0,100.0,100.0
509444053045.0,201810,0,objetivo,0.0,0.0,0.0,0.1627374,0.0,12.0,2.44,61.0,62.5,3.0,114.0,28.0,0.0,10.33,83.74,19.2,50.0,33.33,3.0,4.0,22.94,0.0,100.0,89.22658
517514254484.0,201812,0,objetivo,0.4330127,0.0,0.0,0.04312028,0.016000165,11.0,0.42,2.0,90.0,0.0,116.0,25.0,0.0,1.53,85.09,2.69,30.0,57.14,21.0,3.0,2.69,1.0,100.0,97.535385
527420937130.0,201809,0,adicion,0.0,0.0,0.0,0.0070755383999999,0.0,11.0,1.31,15.0,90.91,0.0,132.0,44.0,0.0,3.25,79.24,6.14,36.36,50.0,0.0,4.0,4.79,1.0,100.0,100.0
580463767131.0,201812,0,adicion,0.0,0.0,0.0,0.0,0.0,8.0,9.01,12.0,44.44,3.0,179.0,113.0,0.0,2.59,18.85,15.36,38.89,46.15,20.0,7.0,23.51,1.0,100.0,100.0
595936404679.0,201812,0,objetivo,0.59511906,0.06400066,1.2800131e-05,0.0,0.11200115,8.0,0.19,5.0,78.57,1.0,177.0,122.0,0.0,2.5,77.43,3.84,21.43,50.0,1.0,3.0,2.52,1.0,100.0,100.0
